,epoch,train_loss,test_loss,grad_norm
0,1,4.901699933031019,2.7454742891713977,0.5732879166702535
1,2,1.4939091154143835,2.621984007768333,4.9180267734687755
2,3,1.3374629078214315,2.215975182130933,0.7517421221900336
3,4,1.2169319876152607,2.1147385761141777,3.6393344422572382
4,5,1.1761060614792844,2.1037506023421884,2.048059752837483
5,6,1.1273322106853025,2.0196447502821684,0.5877902267432569
6,7,1.094118569382294,1.978015212342143,1.5625162334288774
7,8,1.0653701377192477,1.8589711105450988,0.616299952282594
8,9,1.0365196173914883,1.8762234975583851,1.2675931746053377
9,10,1.0120040639497838,1.807853918056935,1.2831280765256268
10,11,1.002860189640441,1.758365121204406,1.3567561076670722
11,12,0.9902004815500761,1.7597817471250892,0.5791444733899525
12,13,0.9826336335806333,1.8338429126888514,1.6670148425228282
13,14,0.9730702620559706,1.7090845638886094,0.5958832088646542
14,15,0.9608413492384521,1.7041156189516187,1.8824275062935647
15,16,0.9569151098437961,1.7033054358325899,1.8085003484891875
16,17,0.9509486540010205,1.7300718515180051,4.166913061641095
17,18,0.9509761047004844,1.6917155240662396,1.4482347842000542
18,19,0.9494175611625703,1.7027678745798767,0.9487151630737078
19,20,0.9470810266401326,1.7501561352983117,0.8074521700861035
20,21,0.9469378746677439,1.6818695031106472,1.0163683383062985
21,22,0.9448692238845372,1.6830631140619516,3.4957299276633997
22,23,0.9436611329086999,1.710104826837778,1.8637550501414442
23,24,0.9425168405390849,1.6962069063447416,1.2590928783651887
24,25,0.9419362792450751,1.6760201202705503,2.591670667227322
25,26,0.9404209034172339,1.678954035975039,1.080509925680496
26,27,0.940863332479007,1.6991904550231993,1.2752882509287091
27,28,0.9395430681777163,1.6706347521394491,2.9769896549398847
28,29,0.946127690150828,1.673280905932188,1.7011872783485853
29,30,0.9433240890213868,1.6900980044156313,0.6775788852708325
