,epoch,train_loss,test_loss,grad_norm
0,1,8.08601863450333,3.905712571926415,4.241874107402125
1,2,5.991727302323526,3.5174482497386634,4.891862050261268
2,3,5.57549457763558,3.3106481009162962,5.826050646557929
3,4,5.378488948858623,3.2527491566725075,4.253908896602533
4,5,5.273842337797445,3.1692293896339834,2.0258670149141786
5,6,5.187752158402888,3.140465554315597,2.906547919017461
6,7,5.118939734216946,3.0811977409757674,2.1618360827708623
7,8,5.060624531337193,3.0663582258857787,3.6740769501460773
8,9,5.018195369858732,3.053871789947152,2.273781632375847
9,10,4.975785543669516,3.021145651116967,3.4542012010084107
10,11,4.926149722609693,2.984188618604094,5.411766303986046
11,12,4.873041426449188,2.950527689419687,2.0729227267843173
12,13,4.8501712655716105,2.9546191305853426,4.692592234689209
13,14,4.822802499413236,2.933282452635467,2.664108220540917
14,15,4.793877744471341,2.905911415349692,2.5432063120939365
15,16,4.771973994240832,2.891549235675484,2.173764346470936
16,17,4.751061108066583,2.8816797211766243,1.945686695433432
17,18,4.717591250629059,2.871412661857903,1.9924820111416348
18,19,4.710662079772461,2.8441814626567066,3.2881550959427512
19,20,4.69152510293257,2.841442786157131,2.2114891381537234
20,21,4.6686243004382035,2.8311088900081813,2.0630999740361973
21,22,4.650614776590994,2.815543423872441,4.537705834066655
22,23,4.639307204085881,2.815222824923694,2.442406163225412
23,24,4.626412064790217,2.8008338334038854,3.4929855911199232
24,25,4.602370878272473,2.803973358590156,2.0512566965888155
25,26,4.593269404063601,2.807896294631064,3.372064289126569
26,27,4.573116688331815,2.80038704816252,2.049801292633273
27,28,4.574530574050285,2.7697928063571453,3.9944589650806877
28,29,4.562610313073913,2.749221721664071,3.752706365608028
29,30,4.544021478848163,2.762285974342376,4.481931465627721
