,epoch,train_loss,test_loss,grad_norm
0,1,7.672661322378373,3.046101963147521,0.6137074783446369
1,2,6.693731985812963,2.980001663789153,0.6486974036010602
2,3,6.591291428998459,2.973625611513853,0.5572285455343768
3,4,6.544438567041427,2.9309131987392902,1.6944134756491076
4,5,6.513937112550403,2.9121828554198146,0.7279941437363402
5,6,6.484550930501879,2.901549599133432,0.5567027781998837
6,7,6.45367557249328,2.9020936032757163,0.5222468989200395
7,8,6.434816792953846,2.8873650385066867,0.8325603220332126
8,9,6.422296493436939,2.884546118788421,0.895715908905351
9,10,6.416506059872088,2.871113399975002,0.9466706023875238
10,11,6.4041359708752745,2.867936074733734,0.8186706822707148
11,12,6.404059324269147,2.8925909847021103,0.9078155194025652
12,13,6.407466713887777,2.8800685964524746,1.584336781051199
13,14,6.4143638285093525,2.8908827546983957,1.369302657156164
14,15,6.4143889360418616,2.8740331642329693,1.3736948396106539
15,16,6.418741127663805,2.8701077960431576,0.6540307109894604
16,17,6.4218908257262655,2.8813126338645816,1.0862895106202597
17,18,6.430590759645137,2.879885457456112,0.7582766076941438
18,19,6.438938282256903,2.8895048331469297,1.2719294638561651
19,20,6.437673757589141,2.9677030444145203,1.94343617817389
20,21,6.440417009268621,2.89450990781188,0.7252664887637049
21,22,6.453626968370852,2.8961784038692713,0.9759305945684581
22,23,6.460765397363855,2.8975307792425156,0.7471753511062076
23,24,6.468725199154181,2.9397552460432053,0.8013415467163285
24,25,6.475363969456318,2.893051227554679,1.4553072144985661
25,26,6.484612972468369,2.8968525789678097,0.5406715630541116
26,27,6.483433196248934,2.92404598928988,1.027408472529862
27,28,6.493695146122644,2.896436064504087,1.4990068568095987
28,29,6.502058187080908,2.9005975369364023,0.6389279062753924
29,30,6.510883778449177,2.915081857703626,0.4877235499588507
