,epoch,train_loss,test_loss
0,1,34.17653503268957,5.250672711059451
1,2,30.81140946224332,5.0842895451933146
2,3,30.299335829913616,5.026330765802413
3,4,29.84724297001958,4.93951684050262
4,5,29.215368878096342,4.776858769357204
5,6,28.344444390386343,4.665613052435219
6,7,27.88782213255763,4.583604687359184
7,8,27.181162763386965,4.453410719521344
8,9,26.735147580504417,4.420546058565378
9,10,26.552211064845324,4.386738717556
10,11,26.439055785536766,4.382859159260988
11,12,26.328866600990295,4.368311999365687
12,13,26.219173945486546,4.352711926680058
13,14,26.143730014562607,4.3375892220065
14,15,26.091818641871214,4.320121500175446
15,16,26.031592428684235,4.315425676759332
16,17,26.002666048705578,4.304594692774117
17,18,25.93020223453641,4.302166871726513
18,19,25.905793737620115,4.297079441137612
19,20,25.900154177099466,4.2917173826135695
20,21,25.852471981197596,4.283451223745942
21,22,25.81773452833295,4.289686726406217
22,23,25.81766038760543,4.290068249218166
23,24,25.765108358114958,4.270622879266739
24,25,25.73544029146433,4.277665783651173
25,26,25.706866834312677,4.265234145801514
26,27,25.68722989037633,4.255678828805685
27,28,25.66689931228757,4.275447789113969
28,29,25.670783903449774,4.262082498520613
29,30,25.64048733189702,4.258507616817951
